2019-08-06	¿ÀÀü 9:27
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.575200E-11	340.055000
1.574640E-11	358.692000
1.574750E-11	337.852000
1.573980E-11	250.984000
1.573850E-11	302.936000
1.573780E-11	288.533000
1.574540E-11	303.626000
1.573570E-11	311.857000
1.574820E-11	338.702000
1.574790E-11	326.064000
1.575140E-11	331.274000
1.574650E-11	291.089000
1.574070E-11	332.393000
1.574410E-11	260.072000
1.576100E-11	289.853000
1.574640E-11	276.736000
1.574070E-11	318.269000
1.574640E-11	337.540000
1.574430E-11	334.576000
1.574400E-11	323.667000
1.574830E-11	335.699000
1.575470E-11	282.368000
1.574160E-11	369.478000
1.573160E-11	331.676000
1.573010E-11	328.925000
1.574200E-11	259.034000
1.572590E-11	324.050000
1.573600E-11	306.119000
1.574300E-11	282.190000
1.575990E-11	284.297000
1.574260E-11	370.792000
1.575480E-11	297.391000
1.574270E-11	361.153000
1.575920E-11	343.401000
1.575140E-11	269.954000
1.575310E-11	263.174000
1.574020E-11	297.354000
1.572140E-11	277.527000
1.570940E-11	286.497000
1.570320E-11	368.190000
1.581720E-11	261.453000
1.582840E-11	289.752000
1.583250E-11	302.903000
1.584050E-11	295.173000
1.583490E-11	238.033000
1.584060E-11	236.409000
1.584100E-11	285.265000
1.583040E-11	346.464000
1.582610E-11	254.243000
1.583030E-11	343.612000
1.581940E-11	259.896000
1.580970E-11	277.359000
1.582260E-11	313.237000
1.582370E-11	313.263000
1.581890E-11	312.029000
1.581990E-11	294.635000
1.583030E-11	268.061000
1.581880E-11	256.680000
1.582590E-11	270.707000
1.582220E-11	305.235000
1.581850E-11	271.065000
1.580480E-11	292.932000
1.582160E-11	292.205000
1.581350E-11	259.923000
1.580580E-11	310.322000
1.581410E-11	255.310000
1.582740E-11	283.709000
1.582560E-11	263.284000
1.582610E-11	303.120000
1.583940E-11	284.209000
1.582400E-11	249.377000
1.581980E-11	257.661000
1.583150E-11	241.883000
1.582400E-11	238.208000
1.581830E-11	305.616000
1.581100E-11	302.007000
1.579670E-11	302.427000
1.580510E-11	263.534000
1.580460E-11	252.127000
1.582260E-11	282.641000
1.581840E-11	276.105000
1.581610E-11	250.590000
1.582390E-11	254.628000
1.581180E-11	325.740000
1.580690E-11	251.548000
1.580900E-11	287.532000
1.581510E-11	229.240000
1.578650E-11	303.462000
1.578950E-11	290.147000
1.579750E-11	311.890000
1.582650E-11	298.775000
1.583930E-11	285.134000
1.585630E-11	302.731000
1.586150E-11	262.799000
1.584660E-11	280.764000
1.582290E-11	284.689000
1.581350E-11	280.981000
1.581070E-11	250.784000
1.585760E-11	185.112000
1.579530E-11	280.158000
1.581790E-11	246.867000
1.584470E-11	279.515000
1.584300E-11	300.348000
1.585650E-11	319.705000
1.584930E-11	253.447000
1.585440E-11	306.725000
1.585960E-11	285.598000
1.585890E-11	256.509000
1.585440E-11	285.707000
1.584410E-11	329.526000
1.585070E-11	246.183000
1.583880E-11	250.457000
1.584230E-11	263.753000
1.583920E-11	242.581000
1.584610E-11	241.305000
1.584120E-11	260.893000
1.584230E-11	277.389000
1.584720E-11	264.723000
1.585630E-11	329.250000
1.585390E-11	268.770000
1.585220E-11	254.017000
1.584270E-11	289.901000
1.582830E-11	259.904000
1.582500E-11	292.080000
1.582710E-11	297.318000
1.580970E-11	255.834000
1.582400E-11	291.144000
1.581990E-11	316.922000
1.582530E-11	241.535000
1.581980E-11	225.705000
1.582210E-11	256.770000
1.581770E-11	229.906000
1.582420E-11	229.116000
1.581470E-11	251.510000
1.580320E-11	291.540000
1.580220E-11	275.169000
1.579550E-11	259.838000
1.580640E-11	275.092000
1.579930E-11	286.959000
1.580240E-11	292.183000
1.581820E-11	259.081000
1.584800E-11	303.547000
1.586740E-11	264.051000
1.586590E-11	268.154000
1.586570E-11	269.267000
1.584610E-11	293.200000
1.584010E-11	247.854000
1.585150E-11	225.395000
1.585550E-11	236.003000
1.584880E-11	227.614000
1.585950E-11	228.441000
1.585060E-11	277.616000
1.585940E-11	231.844000
1.585920E-11	275.884000
1.585310E-11	259.415000
1.586360E-11	234.882000
1.586430E-11	276.303000
1.587070E-11	260.614000
1.585660E-11	273.524000
1.586210E-11	221.093000
1.586660E-11	243.035000
1.585540E-11	231.904000
1.586860E-11	261.978000
1.586690E-11	264.322000
1.585450E-11	292.556000
1.585050E-11	234.985000
1.586080E-11	238.813000
1.587270E-11	258.686000
1.586960E-11	273.755000
1.586750E-11	292.139000
1.586960E-11	298.800000
1.586980E-11	267.946000
1.586850E-11	302.799000
1.586200E-11	240.664000
1.587340E-11	264.021000
1.587310E-11	227.776000
1.587230E-11	299.000000
1.587160E-11	261.984000
1.586810E-11	214.989000
1.586070E-11	258.322000
1.586350E-11	214.370000
1.586730E-11	216.976000
1.586390E-11	238.462000
1.585790E-11	293.903000
1.584410E-11	262.791000
1.585120E-11	290.388000
1.583490E-11	286.217000
1.582600E-11	221.442000
1.583730E-11	238.562000
1.586240E-11	233.017000
1.588150E-11	237.219000
1.587380E-11	253.070000
1.588310E-11	221.845000
1.585640E-11	247.325000
1.587220E-11	242.404000
1.586560E-11	233.151000
1.585700E-11	249.628000
1.585930E-11	280.195000
1.586550E-11	304.844000
1.587320E-11	240.075000
1.586360E-11	280.347000
1.587820E-11	279.311000
1.586490E-11	262.599000
1.586100E-11	261.394000
1.587720E-11	279.205000
1.585810E-11	260.655000
1.586770E-11	215.176000
1.586650E-11	209.846000
1.588460E-11	239.486000
1.588240E-11	291.022000
1.587550E-11	220.091000
1.587670E-11	276.245000
1.587650E-11	207.149000
1.587370E-11	222.253000
1.588240E-11	267.508000
1.587730E-11	212.450000
1.588950E-11	267.891000
1.588510E-11	262.103000
1.588630E-11	256.291000
1.589140E-11	217.753000
1.588890E-11	254.124000
1.587400E-11	250.782000
1.586690E-11	245.040000
1.587840E-11	212.921000
1.586720E-11	219.846000
1.586900E-11	236.015000
1.587000E-11	210.286000
1.588750E-11	252.602000
1.587610E-11	250.683000
1.588960E-11	251.438000
1.587110E-11	244.047000
1.587960E-11	266.375000
1.588330E-11	258.698000
1.588830E-11	250.751000
1.588220E-11	235.791000
1.588500E-11	259.518000
1.587850E-11	235.154000
1.585780E-11	204.463000
1.585990E-11	236.599000
1.586390E-11	249.750000
1.588560E-11	246.856000
1.588780E-11	210.279000
1.588810E-11	240.607000
1.587790E-11	253.510000
1.587600E-11	245.125000
1.588730E-11	207.488000
1.588820E-11	247.502000
1.588840E-11	238.862000
1.587960E-11	268.720000
1.588360E-11	264.817000
1.589310E-11	222.663000
1.587950E-11	219.100000
1.589190E-11	197.529000
1.590080E-11	217.733000
1.588880E-11	263.779000
1.586370E-11	221.913000
1.587000E-11	208.445000
1.589150E-11	242.571000
1.588770E-11	246.724000
1.586620E-11	235.409000
1.586780E-11	263.134000
1.587360E-11	263.001000
1.586710E-11	238.381000
1.587400E-11	210.418000
1.588140E-11	252.406000
1.588710E-11	206.393000
1.589050E-11	260.696000
1.589280E-11	255.885000
1.589610E-11	208.779000
1.589140E-11	263.521000
1.589120E-11	213.835000
1.589280E-11	213.807000
1.589160E-11	207.068000
1.587930E-11	219.499000
1.589160E-11	206.380000
1.589420E-11	217.349000
1.589840E-11	211.659000
1.588070E-11	231.567000
1.589490E-11	291.507000
1.588840E-11	259.607000
1.588300E-11	262.503000
1.588780E-11	205.295000
1.589590E-11	255.298000
1.589520E-11	208.935000
1.589350E-11	255.482000
1.589950E-11	235.203000
1.589090E-11	212.358000
1.588750E-11	200.041000
1.586400E-11	213.358000
1.586810E-11	224.536000
1.586700E-11	208.718000
1.586320E-11	235.142000
1.589470E-11	202.504000
1.589900E-11	205.713000
1.589940E-11	219.664000
1.588020E-11	258.847000
1.588900E-11	256.325000
1.587310E-11	251.400000
1.587870E-11	271.020000
1.588740E-11	200.055000
1.589380E-11	256.643000
1.589820E-11	202.319000
1.590320E-11	247.777000
1.590700E-11	235.151000
1.590290E-11	211.786000
1.590230E-11	201.915000
1.589970E-11	220.950000
1.590150E-11	209.971000
1.590590E-11	246.891000
1.589420E-11	242.268000
1.590240E-11	197.452000
1.590170E-11	208.883000
1.590930E-11	217.459000
1.589880E-11	208.738000
1.590770E-11	248.099000
1.590830E-11	252.367000
1.589190E-11	252.085000
1.589720E-11	205.847000
1.590870E-11	220.587000
1.589930E-11	213.602000
1.590920E-11	239.053000
1.590640E-11	217.982000
1.589910E-11	201.508000
1.589760E-11	216.449000
1.589630E-11	216.365000
1.589160E-11	214.047000
1.589450E-11	206.756000
1.590010E-11	266.944000
1.589050E-11	226.310000
1.588680E-11	211.862000
1.588390E-11	202.726000
1.589420E-11	232.422000
1.589230E-11	208.720000
1.589220E-11	273.912000
1.589030E-11	269.802000
1.588000E-11	256.522000
1.588680E-11	213.225000
