2019-08-06	오전 9:22
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.512550E-11	576.205000
1.511430E-11	504.664000
1.512590E-11	545.649000
1.511350E-11	500.726000
1.511480E-11	522.134000
1.512240E-11	542.073000
1.512940E-11	479.947000
1.512830E-11	571.604000
1.512220E-11	516.011000
1.511570E-11	519.387000
1.511470E-11	589.989000
1.511880E-11	392.912000
1.512100E-11	420.277000
1.512520E-11	388.323000
1.512230E-11	521.832000
1.511850E-11	486.251000
1.512150E-11	657.448000
1.511500E-11	388.889000
1.511720E-11	544.709000
1.512250E-11	666.442000
1.512530E-11	454.763000
1.512670E-11	545.653000
1.512390E-11	671.820000
1.511450E-11	433.418000
1.512400E-11	387.940000
1.512720E-11	429.959000
1.511590E-11	408.050000
1.512920E-11	397.449000
1.511630E-11	524.894000
1.511750E-11	468.747000
1.511730E-11	504.973000
1.513040E-11	507.692000
1.512880E-11	384.250000
1.512570E-11	580.438000
1.513130E-11	458.565000
1.513060E-11	429.459000
1.512880E-11	615.985000
1.512950E-11	413.646000
1.512030E-11	444.510000
1.512690E-11	383.111000
1.512880E-11	395.143000
1.511760E-11	406.899000
1.511530E-11	478.821000
1.511640E-11	385.153000
1.512180E-11	385.233000
1.511930E-11	411.242000
1.512640E-11	539.617000
1.512860E-11	486.264000
1.512950E-11	511.419000
1.511820E-11	362.179000
1.511490E-11	454.423000
1.512730E-11	416.986000
1.511710E-11	377.612000
1.513010E-11	429.076000
1.512130E-11	388.886000
1.511310E-11	447.423000
1.511700E-11	597.223000
1.511700E-11	445.556000
1.511030E-11	463.712000
1.511780E-11	582.806000
1.512480E-11	628.178000
1.512400E-11	445.389000
1.512650E-11	554.453000
1.513000E-11	550.818000
1.513340E-11	492.937000
1.512110E-11	370.035000
1.512220E-11	392.410000
1.512600E-11	406.278000
1.512040E-11	635.428000
1.511540E-11	394.064000
1.511690E-11	663.563000
1.511690E-11	407.409000
1.511410E-11	531.688000
1.512430E-11	571.340000
1.512700E-11	532.895000
1.512700E-11	578.384000
1.512670E-11	701.576000
1.512600E-11	596.233000
1.512250E-11	393.135000
1.513060E-11	518.634000
1.512520E-11	687.988000
1.512370E-11	712.771000
1.512170E-11	370.703000
1.511560E-11	533.142000
1.511560E-11	504.405000
1.512890E-11	499.291000
1.512740E-11	355.122000
1.511860E-11	616.283000
1.512620E-11	436.630000
1.512230E-11	547.918000
1.512700E-11	558.697000
1.513000E-11	395.038000
1.512360E-11	382.811000
1.512510E-11	482.778000
1.512200E-11	436.374000
1.511900E-11	366.230000
1.511380E-11	547.301000
1.512020E-11	380.413000
1.512250E-11	362.542000
1.512700E-11	354.824000
1.511650E-11	686.988000
1.512800E-11	469.891000
1.513010E-11	568.055000
1.512040E-11	621.096000
1.511400E-11	411.443000
1.512940E-11	375.319000
1.511930E-11	415.069000
1.512710E-11	462.041000
1.512770E-11	395.189000
1.511770E-11	475.868000
1.512530E-11	459.112000
1.511590E-11	434.057000
1.511450E-11	486.835000
1.511410E-11	537.847000
1.512230E-11	500.499000
1.511390E-11	533.586000
1.511260E-11	441.835000
1.511660E-11	377.031000
1.513370E-11	483.673000
1.512090E-11	444.855000
1.512150E-11	377.246000
1.513090E-11	503.309000
1.511920E-11	598.358000
1.511100E-11	384.417000
1.511730E-11	529.070000
1.511950E-11	416.869000
1.511680E-11	384.259000
1.511980E-11	540.759000
1.511920E-11	619.252000
1.511670E-11	481.550000
1.511360E-11	549.782000
1.512110E-11	725.675000
1.512200E-11	459.239000
1.512190E-11	646.724000
1.512040E-11	625.629000
1.511580E-11	539.330000
1.512100E-11	358.463000
1.511750E-11	463.374000
1.511280E-11	459.219000
1.512060E-11	365.547000
1.512570E-11	444.724000
1.511670E-11	683.982000
1.512220E-11	556.046000
1.511470E-11	411.556000
1.512800E-11	444.451000
1.511950E-11	534.633000
1.511190E-11	420.576000
1.511980E-11	721.243000
1.512250E-11	581.871000
1.512600E-11	445.881000
1.512040E-11	468.926000
1.512690E-11	435.659000
1.512780E-11	407.778000
1.512810E-11	544.405000
1.511290E-11	420.577000
1.511840E-11	569.365000
1.511570E-11	733.748000
1.511590E-11	494.565000
1.512310E-11	441.836000
1.512520E-11	585.642000
1.512300E-11	441.300000
1.511690E-11	670.673000
1.512920E-11	559.086000
1.512490E-11	435.479000
1.511340E-11	412.831000
1.513060E-11	485.901000
1.512780E-11	482.548000
1.511550E-11	438.174000
1.511570E-11	464.021000
1.511230E-11	419.486000
1.511170E-11	393.446000
1.512290E-11	505.423000
1.511920E-11	544.804000
1.511890E-11	622.067000
1.512440E-11	454.281000
1.511950E-11	545.271000
1.511520E-11	428.479000
1.511940E-11	384.998000
1.511580E-11	428.094000
1.512710E-11	568.703000
1.510820E-11	603.220000
1.511280E-11	426.414000
1.511420E-11	518.333000
1.511470E-11	383.478000
1.511560E-11	390.095000
1.511530E-11	521.804000
1.511570E-11	674.368000
1.511470E-11	552.585000
1.511220E-11	600.373000
1.511350E-11	453.344000
1.511720E-11	429.770000
1.512310E-11	437.681000
1.511430E-11	405.981000
1.511900E-11	520.751000
1.511430E-11	504.322000
1.511620E-11	472.477000
